insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000032, 'dcostellow0', 5e505b89fc13ae1c4d000033, 38.9693412, -9.1822048, 'Portugal', 'Sapataria', 'Pink', 2010);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d00004a, 'emcnirlinc', 5e505b89fc13ae1c4d00004b, 42.1119268, 44.9672863, 'Georgia', 'T’ianet’i', 'Green', 2002);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d00004c, 'ksaxelbyd', 5e505b89fc13ae1c4d00004d, -10.6235959, 123.409084, 'Indonesia', 'Batuidu', 'Khaki', 2011);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d00004e, 'fdewdneye', 5e505b89fc13ae1c4d00004f, 15.3749395, -86.6850292, null, 'Nombre de Jesús', 'Khaki', 2007);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000050, 'yjohnseyf', 5e505b89fc13ae1c4d000051, 22.5364306, -80.9055645, 'Cuba', 'Calimete', 'Maroon', 1999);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000052, 'astendallg', 5e505b89fc13ae1c4d000053, -13.3108167, -75.4102538, 'Peru', 'Mollepampa', 'Goldenrod', 2007);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000054, 'pburrassh', 5e505b89fc13ae1c4d000055, 48.0999765, 29.124263, 'Ukraine', 'Kodyma', 'Violet', 1965);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000056, 'dspratlingi', 5e505b89fc13ae1c4d000057, 21.6837923, 104.4551361, null, 'Yên Bái', 'Mauv', 2005);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000058, 'ctuckj', 5e505b89fc13ae1c4d000059, -8.6433591, 116.4960979, 'Indonesia', 'Sukamulia', 'Khaki', 2003);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d00005a, 'afrowdk', 5e505b89fc13ae1c4d00005b, 57.7298725, 13.1015839, null, 'Borås', 'Fuscia', 2003);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d00005c, 'kdranl', 5e505b89fc13ae1c4d00005d, -33.2825097, 19.3247866, null, 'Ceres', 'Indigo', 1993);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d00005e, 'bcholwellm', 5e505b89fc13ae1c4d00005f, 18.0335359, -77.856738, 'Jamaica', 'Black River', 'Goldenrod', 1984);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000060, 'abodimeaden', 5e505b89fc13ae1c4d000061, 37.0388867, 9.6647636, 'Tunisia', 'Mateur', 'Goldenrod', 1990);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000062, 'jvangoo', 5e505b89fc13ae1c4d000063, '-8.5694', '116.1325', 'Indonesia', 'Sayang Lauq', 'Aquamarine', 1993);
